Kasarian,Edad,Antas na tinapos,Uri ng trabaho,Serbisyong Pangedukasyon,Pagsasanay Pangkabuhayan (Livelihood),Pagtatanim,Serbisyong Pangkalusugan,Serbisyong Dental,Kaalamang Pangkultura,Values Formation at Moral Recovery,Ayudang Pagkain (Food Assistance),Pagrerecycle,Pagsasanay Ukol sa Teknolohiya,Program,Sub Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,0,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,0,0,1,0,Environmental Stewardship,Clean-up Drive
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,0,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,0,1,0,0,Socio-economic,Food assistance
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,0,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,0,1,1,0,Environmental Stewardship,Clean-up Drive
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,0,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,0,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,0,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,1,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,1,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,0,1,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,0,0,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,0,1,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,1,0,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,1,1,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,0,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,0,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,0,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,1,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,1,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,0,1,1,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,0,0,0,Health and Wellness,Medical and Dental Mission
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,0,1,0,Environmental Stewardship,Clean-up Drive
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,1,0,0,Socio-economic,Food assistance
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,1,1,0,Environmental Stewardship,Clean-up Drive
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,0,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,0,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,0,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,1,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,1,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,0,1,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,0,0,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,0,1,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,1,0,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,1,1,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,0,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,0,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,0,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,1,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,1,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,0,1,1,1,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,0,0,0,Health and Wellness,Medical and Dental Mission
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,0,1,0,Environmental Stewardship,Clean-up Drive
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,1,0,0,Health and Wellness,Medical and Dental Mission
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,1,1,0,Environmental Stewardship,Clean-up Drive
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,0,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,0,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,0,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,0,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,1,0,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,1,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,1,1,0,Values Formation,Personality Development
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,0,1,1,1,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,1,0,0,0,0,Cultural Enhancement,Culture and Arts
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,1,0,0,0,1,Literacy,ICT Literacy Program
Babae,17-below,Hindi nakapagtapos ng Elementarya,May Trabaho,0,0,0,1,0,1,0,0,1,0,Cultural Enhancement,Culture and Arts
